Rank,Country,2016 EPI Score,10-Year Percent Change,Environmental Health,Ecosystem Vitality,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy,Environmental Risk Exposure,Household Air Quality,Household Air Quality - Risk Exposure,Air Pollution - Average Exposure to PM2.5,Air Pollution - Average Exposure to PM2.5 - Risk Exposure,Air Pollution - Average PM2.5 Exceedance,Air Pollution - Average Exposure to NO2,Access to Sanitation,Unsafe Sanitation- Risk Exposure,Access to Drinking Water,Unsafe Drinking Water Quality -Risk Exposure,Wastewater Treatment,Nitrogen Use Efficiency,Nitrogen Balance,Tree Cover Loss,Fish Stocks,Terrestrial Protected Areas (National Biome Weights),Terrestrial Protected Areas (Global Biome Weights),Marine Protected Areas,Species Protection (National),Species Protection (Global),Trend in Carbon Intensity,Trend in CO2 Emissions per KwH,Access to Electricity
31,Azerbaijan,83.78,18.1,82.96,84.6,89.77,80.99,78.12,69.16,98.18,96.7,NA,75.83,97.94,89.77,94.37,84.16,92.09,53.38,82.45,76.58,82.38,75.46,66.72,87.92,69.16,97.57,100,96.7,NA,70.55,74.6,NA,76.25,81.91,100,91.76,100
32,Russia,83.52,24.34,87.06,79.98,92.2,84.76,84.22,91.28,98.18,49.17,57.81,73.7,84.42,92.2,95,100,100,79.19,83.2,36.69,70.17,80.8,88.9,97.01,91.28,97.57,100,49.17,57.81,71.68,73.16,91.09,65.78,66.8,87.63,74.79,100
33,Bulgaria,83.4,12.01,85.18,81.62,81.82,80.46,93.25,88.59,85.1,80.55,28.03,88.98,77.03,81.82,91.15,100,80.07,67.49,75.22,70.85,80.46,98.34,97.52,96.68,88.59,80.14,100,80.55,28.03,100,100,44.91,100,100,84.96,53.23,100
34,Romania,83.24,28.93,81.19,85.28,79.94,78,85.64,74.31,100,69.68,34.98,95.77,96.18,79.94,85.58,100,76.72,64.81,73.5,68.82,74.31,76.25,100,92,74.31,100,100,69.68,34.98,95.19,94.89,97.99,98.8,91.96,97.28,92.91,100
35,Belarus,82.3,3.77,87.37,77.24,90.68,80.31,91.12,66.36,98.18,50.18,NA,73.06,94.87,90.68,95,100,86.33,76.25,68.96,59.82,88.49,81.54,98.77,95.68,66.36,97.57,100,50.18,NA,74.24,73.52,NA,69.84,74.63,97.62,86.61,100
36,Netherlands,82.03,8.09,82.85,81.21,80.57,69.32,98.65,99.65,61.66,72.46,28.64,90.38,75.43,80.57,95,100,80.07,63.22,61.93,0,94.58,100,100,100,99.65,82.21,0,72.46,28.64,78.74,77.04,100,97.02,99.09,70.64,89.81,100
37,Armenia,81.6,13.19,81.76,81.44,88.56,73.81,82.92,70.76,98.18,96.3,NA,87.43,72.77,88.56,95,85.77,78.42,58.57,60.84,78.96,82.7,79.31,100,69.68,70.76,97.57,100,96.3,NA,99.7,99.7,NA,83.94,66.39,63.7,100,100
38,Poland,81.26,8.12,80.54,81.98,81.2,65.54,94.89,87.41,82.66,43.8,6.219,99.76,88.91,81.2,95,100,67.49,65.2,43.91,32.13,93.72,94.02,94.15,97.68,87.41,76.88,100,43.8,6.219,100,100,100,98.8,100,92.38,78.5,100
39,Japan,80.59,5.72,86.59,74.58,82.13,77.63,100,87.01,51.74,82.44,25.91,93.25,59.22,82.13,95,100,92.09,70.42,71.73,24.87,100,100,100,100,87.01,68.99,0,82.44,25.91,100,100,71.33,97.91,97,62.53,49.31,100
40,Cyprus,80.24,8.51,88.59,71.9,78.99,86.77,100,73.81,25.81,82.82,15.4,78.23,89.01,78.99,95,100,100,65.59,83.2,77.18,100,100,100,100,73.81,34.41,0,82.82,15.4,100,100,0,93.24,97.9,85.35,100,100
